# Material Designer imported-tree preservation inventory
# Generated from the committed index, pinned upstream manifest, MODIFICATIONS.md, and Git history.
# kind	path	local-mode	local-oid	upstream-mode	upstream-oid	owner-commit
oid-different	apps/landing-page/app/pages/index.astro	100644	2cc4c51a576b22887d28579446bda8df0e80469d	100644	0e8c1053ffed08b503a913453cb9b339e8572616	98e43e560e57f992c088c85beb013d38d1762ca7
oid-different	apps/landing-page/app/pages/pricing/index.astro	100644	7a526247195abac59cbea7473ce611f3a6848d61	100644	a60ba374b4958bacbc26aadc615b778cd8626af5	98e43e560e57f992c088c85beb013d38d1762ca7
oid-different	apps/landing-page/package.json	100644	e234ac93466427322722a311e128ec1d17676087	100644	0063a2057456a81dee255865ec42feb2d161d437	98e43e560e57f992c088c85beb013d38d1762ca7
oid-different	apps/landing-page/tests/go-banner.test.ts	100644	bceac350125def97d1b82432c90706d08d66be04	100644	690d92ec9bcc6f723bbad89340d4292321922b95	98e43e560e57f992c088c85beb013d38d1762ca7
oid-different	apps/landing-page/tests/header-download-cta.test.ts	100644	07d162ced5f42aa702b80bfc1a68274c885f5caf	100644	bd60e335022fbe6243f0a8695c6c9c1c27e35b6c	98e43e560e57f992c088c85beb013d38d1762ca7
oid-different	apps/landing-page/tests/home-campaign-banner.test.ts	100644	6bccc080c0b4a610f44f9857e2bc69e86e29ace0	100644	8b74bccf9fad8c244814edfd1fe1e01466c3fa74	98e43e560e57f992c088c85beb013d38d1762ca7
oid-different	apps/landing-page/tests/pricing-contract.test.ts	100644	2674c03fdc8591c0c5ba9a73d3bf140a6f0f86e2	100644	3f033be1f30e8d2a428f0cbea266a97acbd2fd89	98e43e560e57f992c088c85beb013d38d1762ca7
oid-different	apps/packaged/AGENTS.md	100644	94e6cf73b97c548f85b03d471fd82f1c8f43f5e7	100644	bf6c6367fe2664c87683e6e2bbd9927e16dca1b9	5ef73934884da860b6f53bcd7cd495977b7e1f6a
oid-different	apps/packaged/package.json	100644	38bf5e34cfe378b422881a1cb416434e36a8457b	100644	48988571a28e03f013c9beb0543339074b5af425	98e43e560e57f992c088c85beb013d38d1762ca7
oid-different	apps/web/src/campaigns/go-plan-content.ts	100644	330bf35a34c9a57830cfef1ab65a26a2f9c67385	100644	76ad74db5d7334184c7912bcc84fdccb6ba67474	5ab199b15f1e407f4b9045ca1095894e69346282
oid-different	apps/web/src/campaigns/go-plan.ts	100644	3ef667e41fdac8a1e98cec3a65e2d0c62165d1b2	100644	a21c4c33c007ddfb39667b0fb9e5d08dbf87257a	5ab199b15f1e407f4b9045ca1095894e69346282
oid-different	apps/web/src/components/AmrLowBalanceDialog.module.css	100644	096072a681948305fe049781788944baeebdc252	100644	fd460ae9326be7cba7bce6c1f158a7dc48594dee	5ef73934884da860b6f53bcd7cd495977b7e1f6a
